李飞	3	4236
燕娜	3	5173
陈佳宇	3	7924
李侠	3	3712
李会	3	3699
张斌	3	2785
陈伟	3	7918
林琳	3	4605
沈鹤慧	3	5027
陈林	3	8067
王浪	3	5632
李红	3	4111
庞晓丽	3	2459
张和平	3	2624
陈齐海	3	8213
王小明	3	5409
宁传林	3	2143
于丰园	3	243
肖宏	3	6291
杨琳	3	4482
王玫	3	5675
丁敬达	3	145
王晶	3	5579
李向森	3	3772
韩世范	3	8288
范少萍	3	6549
李勇	3	3752
李明忠	3	3933
马小琴	3	8426
宋丹辉	3	2164
刘晓东	3	924
张慧坚	3	2769
傅荣	3	594
李博	3	3760
秦颖	3	6060
祁晓婷	3	6019
刘晓凤	3	925
王丹丹	3	5226
张倩	3	2579
刘俊婉	3	740
刘云	3	725
郭进利	3	7722
王雪梅	3	5829
李妍	3	3795
曹娟	3	3455
赵莉	3	7288
乜勇	3	241
雷江华	3	8248
丁佐奇	3	130
李勇泉	3	3754
孙瑾瑾	3	2040
马文聪	3	8444
黄玲玲	3	8795
张俊	3	2570
李路	3	4180
刘丽萍	3	718
唐恒	3	1749
王宝济	3	5399
艾虹	3	6482
李从春	3	3696
朱薇薇	3	3648
史静	3	1276
刘振锋	3	894
柴新夏	3	4646
刘芳	3	1087
张建华	3	2726
乔莉莉	3	238
吴蓉	3	1534
陈燕	3	8105
陈军	3	7929
赵静	3	7321
王峰	3	5423
贺培凤	3	7048
于琦	3	278
杨平生	3	4377
李平	3	3846
房宏君	3	3339
吴超	3	1538
袁芳	3	6824
王姝	3	5364
张曼琴	3	2836
吕先竞	3	1340
卢章平	3	1238
邵澍赟	3	7457
邱长波	3	7442
史盛楠	3	1269
周兰芳	3	1581
吴鹏	3	1561
戴冬梅	3	3315
刘蕊	3	1104
李国鹏	3	3784
李卉	3	3757
王琦	3	5684
刘彩霞	3	869
李爽	3	4057
张勇刚	3	2605
曹树金	3	3468
王连喜	3	5802
张春阳	3	2808
陈军营	3	7930
王瑾	3	5695
huang jin	3	30
曾娟	3	3507
杨雪梅	3	4548
韩丽	3	8291
卢圣锋	3	1218
樊彦芳	3	4763
潘陈益	3	5123
舒予	3	6473
张黎俐	3	3104
王金平	3	5808
冉从敬	3	626
李新来	3	3920
隗玲	3	8237
闵超	3	7857
王文韬	3	5517
陈小清	3	7995
董诚	3	6660
邓志文	3	7377
张焱	3	2897
刘光宇	3	748
张慧	3	2767
罗建	3	6196
赵星	3	7215
王宏鑫	3	5394
黄丽珺	3	8704
刘奕杉	3	808
王玉琳	3	5666
王延章	3	5435
唐明伟	3	1754
李维思	3	4126
尹明理	3	2316
兰月新	3	615
岳婷	3	2343
郭骅	3	7734
周利琴	3	1585
周源	3	1653
潘宇光	3	5093
廖君华	3	2492
徐爽	3	3234
陈斯斯	3	8039
郭继军	3	7709
黄晓斌	3	8763
段丹	3	4811
赵芳	3	7286
程慧平	3	6081
王立良	3	5728
周沫	3	1644
张鹏	3	3100
周西平	3	1699
赵楠	3	7237
高金虎	3	8619
陆颖	3	7895
刘军	3	754
徐稼红	3	3246
王晰巍	3	5577
邵颖	3	7469
张大志	3	2641
刘昌来	3	910
张小琴	3	2697
周鑫	3	1708
王惠	3	5488
李雪华	3	4215
唐银星	3	1778
刘忆	3	873
肖湘	3	6311
罗仁强	3	6179
魏志玲	3	8647
李姣	3	3798
高洁	3	8584
李琼	3	4077
杨辉	3	4527
罗爱静	3	6218
黄艳	3	8813
郑荣宝	3	7579
冯晓丽	3	666
张媛	3	2656
岳树锦	3	2348
汤大朋	3	4931
王会梅	3	5259
王婷	3	5374
孙燕	3	2030
董丽娟	3	6616
刘涛	3	987
冯小燕	3	655
刘娜	3	819
周详	3	1700
刘植萌	3	955
张家榕	3	2684
